times,agents,alg,range
0.0811326,4,dfs,50
14.2477,4,dfs,50
0.143982,4,dfs,50
0.108369,4,dfs,50
11.2903,4,dfs,50
1.109,4,dfs,50
0.0662305,4,dfs,50
0.430886,4,dfs,50
0.115892,4,dfs,50
2.95006,4,dfs,50
1.21121,4,dfs,50
0.0816219,4,dfs,50
0.105451,4,dfs,50
0.0865754,4,dfs,50
0.0922798,4,dfs,50
1.12085,4,dfs,50
0.0992768,4,dfs,50
1.76935,4,dfs,50
0.0689479,4,dfs,50
0.0659949,4,dfs,50
0.671473,4,dfs,50
0.127874,4,dfs,50
3.80215,4,dfs,50
1.27323,4,dfs,50
0.0777539,4,dfs,50
13.599,4,dfs,50
1.10453,4,dfs,50
0.58,4,dfs,50
38.9845,4,dfs,50
0.0724669,4,dfs,50
0.101068,4,dfs,50
0.0645948,4,dfs,50
3.75112,4,dfs,50
19.4503,4,dfs,50
0.0816662,4,dfs,50
8.94935,4,dfs,50
0.213477,4,dfs,50
0.15679,4,dfs,50
0.0757499,4,dfs,50
4.88235,4,dfs,50
1.92515,4,dfs,50
0.05617,4,dfs,50
0.139498,4,dfs,50
1.9431,4,dfs,50
300.0,4,astar,50
0.104807,4,astar,50
0.098545,4,astar,50
0.0701061,4,astar,50
300.0,4,astar,50
300.0,4,astar,50
0.083041,4,astar,50
300.0,4,astar,50
0.139391,4,astar,50
300.0,4,astar,50
300.0,4,astar,50
300.0,4,astar,50
0.0652107,4,astar,50
24.5972,4,astar,50
0.11818,4,astar,50
300.0,4,astar,50
251.173,4,astar,50
0.0780441,4,astar,50
0.102988,4,astar,50
0.085428,4,astar,50
0.0861955,4,astar,50
300.0,4,astar,50
0.101304,4,astar,50
300.0,4,astar,50
0.0688159,4,astar,50
0.0642572,4,astar,50
300.0,4,astar,50
0.13334,4,astar,50
300.0,4,astar,50
300.0,4,astar,50
0.0788416,4,astar,50
300.0,4,astar,50
300.0,4,astar,50
300.0,4,astar,50
300.0,4,astar,50
0.0741544,4,astar,50
0.102691,4,astar,50
0.0653808,4,astar,50
300.0,4,astar,50
300.0,4,astar,50
0.0896941,4,astar,50
300.0,4,astar,50
0.210061,4,astar,50
0.154991,4,astar,50
0.0774217,4,astar,50
300.0,4,astar,50
300.0,4,astar,50
0.0562858,4,astar,50
0.113315,4,astar,50
300.0,4,astar,50
14.4763,4,birk,100
6.80018,4,birk,100
300.0,4,birk,100
4.65833,4,birk,100
300.0,4,birk,100
8.93803,4,birk,100
300.0,4,birk,100
300.0,4,birk,100
11.3502,4,birk,100
7.48507,4,birk,100
300.0,4,birk,100
300.0,4,birk,100
300.0,4,birk,100
7.16453,4,birk,100
300.0,4,birk,100
8.94842,4,birk,100
6.43015,4,birk,100
300.0,4,birk,100
300.0,4,birk,100
300.0,4,birk,100
3.3605,4,birk,100
9.87578,4,birk,100
7.6795,4,birk,100
6.24418,4,birk,100
300.0,4,birk,100
300.0,4,birk,100
6.95142,4,birk,100
300.0,4,birk,100
10.6133,4,birk,100
10.9668,4,birk,100
300.0,4,birk,100
300.0,4,birk,100
300.0,4,birk,100
7.53206,4,birk,100
300.0,4,birk,100
300.0,4,birk,100
300.0,4,birk,100
14.2416,4,birk,100
9.71843,4,birk,100
5.4618,4,birk,100
300.0,4,birk,100
6.34613,4,birk,100
7.55923,4,birk,100
300.0,4,birk,100
7.25539,4,birk,100
10.4192,4,birk,100
6.28345,4,birk,100
300.0,4,birk,100
300.0,4,birk,100
5.12554,4,birk,100
11.085,4,dfs,100
0.241009,4,dfs,100
11.0228,4,dfs,100
0.243489,4,dfs,100
3.15573,4,dfs,100
8.88373,4,dfs,100
3.92066,4,dfs,100
300.0,4,dfs,100
0.857213,4,dfs,100
11.123,4,dfs,100
300.0,4,dfs,100
300.0,4,dfs,100
300.0,4,dfs,100
0.351251,4,dfs,100
1.19558,4,dfs,100
0.294055,4,dfs,100
0.260493,4,dfs,100
7.91826,4,dfs,100
4.51713,4,dfs,100
20.6302,4,dfs,100
0.245555,4,dfs,100
0.328732,4,dfs,100
0.280921,4,dfs,100
0.342028,4,dfs,100
300.0,4,dfs,100
1.08613,4,dfs,100
0.330705,4,dfs,100
0.324272,4,dfs,100
0.315303,4,dfs,100
12.0789,4,dfs,100
99.2529,4,dfs,100
